text;label
terima kasih y kak sudah berkunjung, aamiin.. semoga kk juga sukses dan sehat selalu.. salam kenal yaa..;2
terima kasih kak anita udh mampir.. aamiin..;2
iya ka ...sama;2
terima kasih udh mmpir y sobat..;2
aamiin.. trma kasih sobat.. salam kenal;2
terima kasih sobat udah mampir... salam kenal yaa.;2
makasih mbae...msih bljr2 jg...;2
terima kasih kak sudah berkunjung.. salam kenal yaa..;2
really relaxing! terima kasih diajak mencoba makanannya!;2
baarakallaah bro rey....kereeen kafe nya nich......atau bro yg punya nich....wkwkwkk.....salam untuk dua anaknya yg pintar..... happy family bro....;2
tempatnya nyaman buat kuliner dan nongkrong, gambar videonya bagus banget bersih;2
wahhh cireng muantap tuh aku juga suka cireng;2
smgt adek hehe cantik deh salam mase;2
cute and beautiful restaurant watching replay bro;2
indah dan hangat tempatnya bang pey;2
tempat nongkrong yg karen;2
tempatnya keren sangat nyaman;2
assalam o alaikum bro stay;1
wow...tempat yg begitu indah cafe nya sangat bagus asik buat ngopi kak;2
nyammii jannn.uwenak banget masee;2
first like 1 see you on the premiere!;1
woooow ma sha allah lala patio green dinning what a beautiful and amazing place kids are enjoying the foods very much you are really a great dad ma sha allah tabarukallah;2
dimana ni bg . aku mau coba ahh kesana . ajak ajaklah kalau mau ke tepat sultan;1
lala patio green living dining.tempat makannya keren sekali. sangat recommended untuk nongkrong bersama teman atau makan bersama keluarga salam kenal kak dari teman baru;2
keren... brother.. akhirnya ane mampir bro wkwkwk;2
tempatnya enk bwat ngonggkrong bang;2
jajan time ya kak;1
itu rujak cireng bukan ka?;1
terima kasih sudah berkunjung sahabat..;2
syukron bg ahay... pnya ttangga sebelah wkwkkww... siiyaapp, kata na salam balik bwt om ahay keluarga...;2
makasih mas adi... lgi d tester dlu.. wkkwkw;2
klo gt kpan2 makan bareng dah kita mybrow..;2
okay siap bang bro moga2 bisa ketemu;2
terima kasih y om..;2
yeaahh.. a minimalist but unique restaurant... thanks sis..;2
makasih bgbrow ut, waahh... tnyata ini komen kedua.. barti dapat sepeda..;2
makasih kak zila, tdi ikut tayang jg..;2
makasih y kang... semoga sehat2 selalu..;2
waalaikumsalam, ok..thank sis;2
iyaa sobat..makasih ya udah mampir.. salam kenal...;2
kapan kita ngopi bareng masbrow..?? hahaha;2
perasaan barusan komen di video aku terbaru kok di hapus lg ?;0
.networkireland kirain first mo balas, trnyata seken.... jaringan eropa lebih kuenceeng...;2
aamiin...thank you sis, may happiness always be given to you...;2
ameen sum ameen bro i m really soooo sorry for missed your premier but replay full;2
msih d bkt mybro... yaaa si kuning bawaan na ngegas mulu.. gmn ngajak na..;1
terima kasih udah mampir ya sobatku... salam kenal kembali...;2
hhhh.. untg ga telat kang, bioskop mo tutup... jikakaaa , paket peuyeum udh nyampe tuch kang... nuhun..;2
iyaaa cuaca jg sejuk..,terima kasih y kak;2
iy kak ulfah... ngisi kampung tengah dulu...;1
maauu kak fabalqi.. ???;1
thank you daddy for taking us to this amazing restaurant. i would love to try it too the cireng looks yummy;2
tempat nongkrong minimalis lala pagio tempatnya nyaman menunya yummy si bocil calon youtuber sukses ini pinter banget nge review;2
mantap masalhh;2
75 like done nice sharing please stay connected full watching;2
n i c e p l a c e . . and good job for reviewing;2
mau donk diajak jalaan2 dan makan2 bareng..sm papah ganteng youtuber idolaku;2
nama anaknya ternyata cafe nya bang pey;1
keren bang kafe nya,ke dua nak bang vanreyyel juga gemesin, sukses trz bg;2
jngn lupa bro...ingt kn psanan ku;1
thanks sis mawar..., looks like the food there is also delicious..;2
iyaa.. minimalis dan klo dh nongkrong betah seharian.., hahaa.. partner ngonten sejati mb yuni...;2
trma kasih kk..;2
hi my friend.. thank you very much... i really appreciate your time to watch.. iam waiting for your next video...;2
trma kasih sobatku..;2
terima ksih sudah berkunjung kk...;2
waaddiiidaaww... boleh2 mba ifa.. ntar hunting duren yaa..;2
iyaaa bgbrow.. tpi ntu hnya kebutuhan... eehh kebetulan... jiiakkaaka..;1
aamiin... sama2, mksh bro johan.., tnyata bapak na gak ya bgbrow..;2
gak lah;1
asseeeemmm...;1
wahhh bner2 lupa nh.. kmrn apa yaa..? sate ayam kah..??;1
kambing gulai kang hdeh...;1
terima kasih udh mampir ya..;2
restonya keren banget, suasana dan pemandangannya juga sangat menyenangkan. mantaaps;2
.master sama2 sobat.., smoga slalu sehat dan sukses ya. terimakasih;2
review yang bagus, xakapa cafe resto;2
tempat nya keren .deras sungai dan pemandangan yg indah baget . keren baget cafe resto nya;2
nomor 1 singgah;2
pemandangan yang menyejukkan mata.;2
apa aja menu kuliner nya neh pak;1
banyak nyiak.....segala macam menu kekinian ada nyiak...tinggal pesan aj;2
keren kawanku jos mantab;2
wah baru tau kak klo ini kawasan nongkrong paling hits di kota padang, makasih ya infonya kapan kapan yori riyo mau ke padang, boleh donk ya meetup sma kak nasya;2
wau bagus bagus tempat nya;2
nongkrong di kota padang;1
maha suci allah;2
sumatra barat keindahan yang memukau wisata dan kuliner dan ramah orang minang menjadi peminat wisatawan;2
nikmat mana lagi yg engkau dustakan....gak usah jauh2..di sumbar..semua terasa indah..;2
sumatera barat masya allah !!!! negeri yang diberkahi allah !!!! tetap junjung terus hukum allah;2
saya senang berlibur di sumatra barat.tempatnya indah;2
aq pernah ke sumbar ..emang alamx ngangenin;2
kampungku memang rancak;2
selalu suka wisata di sumatera barat. mantap sangat;2
luar biasa keindahan alam sumatera barat;2
masyaaallah sumbar mmg seindah itu...sepanjang jalan adah tempat wisata ..terpukau2 terkagum2 akan lukisan alam sang maha kuasa...tiap sudut sumbar adlh keindahan ..;2
fix harus ke sumbar;2
masya allah. tabarakallah. alhamdulillah..;2
sangat indah suasana alam disumbar suasana dingi dan lamak untu makan makan;2
alhamdulillah saya sudah sampai ke jam gadang;2
jam gadang bukit tinggi. keren sy pernah kesini;2
pagi sobatku bagus nya memang sumatra barat bagus nya nya salam sukses ya;2
semoga dirawat dg baik dan kebersihannya dijaga agar bertahan lama dan banyak pengunjung datang..;2
indonesia lebih indah dari luar negri.;2
alhamdulillah.... masya allah tabarakallah.... tempat kelahiran ku ranah minang memang rancak bana...;2
sumatera barat paling bagus tempat wisata nya . paling banyk d kunjungi orang;2
selamat buat sumatra barat tahun 2021 data statik kemiskinan di sumatra barat makin berkurang dan masuk 7 provinsi angka kemiskinan di indonesia;2
masya allah tabarakallah rancak bana;2
sumbar itu sorganya wisata.... tempat terindah didunia banyak di sumbar;2
semoga bisa kesini;2
keliling pulau mandeh di sumbar..air laut nya bening bgt..bisa snorkling mirip raja ampat papua..;2
panorama yang indah;2
keren semoga ariva world bisa digunakan di tahun ini;2
disinilah ku dibesarkan;1
kerren suasana luar negri...;2
alhamdulillah, kami skluarga sdh pernah ke tempat wisata ini.;2
kalau di lihat lebih indah ngarai sianok dari pada grand canyon;2
kita di indonesia juga memiliki tempat wisata yang indah tidak kala dengan negara lain.;2
pantai pulau mandeh tarusan pesisir selatan juga bagus;2
tetep beda lah orang kampung, luar negri jauh lebih bagus aslinya, indonesia menang bagus di foto doang;0
iya benar. pas kesana amburadul semua.;0
dari luar negeri indonesia nggak kelihatan. hehe...;0
jauh kalu sama swiss;0
peristiwa tektonik. ratusan tahun silam. bruh.. research lo dimanee? tiktokk?;0
alhamdulillaah yoo rancaak sado alae wisata sumatera barat;2
059 alahan panjang desa di kab solok sumatera barat yang sering disebut kota paling terindah di indonesia, karena pemandangan gunung, pepohanan pinus dan padang semak rumput yang landai membuat nya kota alahan panjang mirip seperti swiss di eropa nya indonesia. dan juga sudah dapat penghargaan dari menteri pariwisata republik indonesia disebut sebagai desa indonesia paling indah di asia tenggara. 128 nagari di kepulauan mentawai, itu masih di sumatera barat desa indonesia yang mirip seperti hawai karena ombak nya besar dan suasana pantai nya terdapat pasir putih yang luas dan banyak pohon kelapa yang tersusun di tepi pantai. 250 padang mangateh nagari yang berada di payakumbuh, sumatera barat di katakan desa di indonesia yang mirip seperti new zealand indonesia, karena disana terdapat padang rumput yang sangat luas dengan daerah pegunungan yang sejuk, , dan disana juga mayoritas nya bekerja sebagai peternakan sapi paling banyak diternak. 315 di kecamatan senayan kabupaten agam sumatera barat, ada tempat yang terlihat sangat mirip seperti tembok besar raksasa china yaitu janjang sajuta karena terlihat seperti tangga batu pendakian gunung seperti di china itu. 519 ngarai sianok yang berlokasi di bukittinggi ini mirip seperti grand canyon di amerika serikat, mengapa bisa begitu karena pemandangan panorama lembah dan sungai serta rumput belukar hijau hampir mirip sekali dengan grand canyon, sehingga kota bukittinggi terkenal tidak hanya peninggalan sejarah kolonial dan jam gadang nya, karena ada lembah yang mirip seperti grand canyon of indonesia ini jadi terkenal di indonesia dan di asia tenggara.;2
mantap sobat salam santun dan sukses selalu;2
ass...met siang maaf saya minta lagu2 dari muksin alatas yg diiringi band arula trimis;1
konten yang sangat kreatif sekali ,pantas berkembang nya sangat pesat...;2
sangat recomended boss ku;2
kelok 9 yang menuju payakumbuh juga bagus, banyak destinasi wisata alam di sumatra yang bagus, tetapj kurang dipromosikan. maka promosikan objek wisata di media sosial, dan buka biro wisata. insya allah orang indonesia yang belum tahu akan berkunjung ke sumatra barat. saya putra betawi yang pernah berkunjung dan bertugas di sumatra tidak bisa melupakan keindahan sumatra barat.;2
mantap sanak lanjut;2
subhanallah,, jatuh cinta dengan sumbar;2
klu sumbar ini punya jl tol pasti pengunjung banyak datang dari berbagai daerah baik dalam kota maupun luar kota sumbar.;1
taragak pulang kampuang;2
lembah harau sudah pernah kesana saya dengan tante saya. memang sangat bagus tempatnya;2
saya dh pergi, kecuali jembatan akar yg satu ni , blum pergi.;2
ranah minang hamparan sorga dari nusantara tercinta;2
luar biasa memang keindahan pemandangan sumatera barat.;2
alhamdulillah ranah minang merupakan ciptaan allah yg sangat bagus dan masyarakatnya ramah dan makanan nya enak enak, saya kelahiran pauh kambar pariaman;2
salam sanak;1
puncak lawang dan pantai cirocok;2
kelok sembilan cuma tempat wisata melihat kembali kelokan. kalau saya saranin ke kecamatan lembah gumanti, yaitu desa alahan panjang yang berada di kab solok ini, mirip seperti swiss sampai menteri pariwisata mengakui nya alahan panjang sering disebut kota sumatera barat sebagai kota paling terindah di indonesia dan di asia tenggara;2
tapi ada 1 lagi yang kurang menara eiffel di lembah harau sama persis sama menara eiffelparis perancis;2
yang di maksud dalam video ini tempat wisata yg mirip sama luar negeri;1
subhanallah......bangga banget jadi orang sumbar;2
susah bang buat tol sumbar longsor dan gunung merapi dan gempa bumi dan masih mikir umkm disana iya juga kalo ada tol pasti padat kali sumbar;0
mantep min salam untuak urang sumbarrang minang;2
saat saya hamil usia kandungan 4 bulan sengaja naik janjang sajuta di gunung singgalang ... masyaallah masyaallah indah nya pemandangan dari atas,saya orang jawa saya suka ranah minang;2
bagus banget kk;2
joss gandos rekomendasi wisata mampir mas bro;2
keren lembah harau;2
sumbar daerah teraman di sumatra .dan salut ya sumbar byak di bagun orang minang sendiri..dan sumbar masih berlaku kuat adat minang ya.untuk kecualu mentawai ke pulau an..;2
disiko aden bangga sebagai urang minang nan lahiah di alahan panjang solok , jikok pai kalua nagari pitiah ndak cukuik datang kamari se sanak;2
bangga jadi orang minang;2
tempat wisatanya sangat indah. mantap yang membuat video ini. terimakasih sudah berbagi. salam dari bali;2
mantaps bestie ndi.. terimakasih pilihan utk wisata;2
padang mangateh dekat rumahku ...tempat peternakan sapi....10 menit kok kesana....;1
andai pemerintah buat mega proyek di sumbar, dengan tema dunia ada di subar kalo bisa tempat tempat luar negri yg terkenal;1
gw udh ke yosemite di usa bg, kampung gw di padang pesisir selatan, memang mirip bg ,tapi bedanya di yosemite banyak hewan buas beruang dan salju ,,tapi gk kalah bagus dgn punya kita ini;2
keren...videonya bagus...infonya menarik...cukup di sumatra saja bisa menikmati destinasi wisata yg tak kalah indah di luar negeri mantap kak;2
cuma rumput y aja yang harus pakai rumput sintetis kaya y padang rumput hijau nan luas;1
indonesia lebih cantik dari luar negeri makanya suka heran kalau ada org indonesia yg lebih membanggakan luar negeri;2
puncak pato juga tidak kalah bagus bos. seperti berada diatas awan;2
makasih sanak udah nonton video ini;1
mari berwsata ke pulau dewata;1
klo d sumbar kereta api wisata nya msh ada , beda dgn pulau bali blm punya kereta api wisata maaf bukan membanding kan;1
makasih pak bestie;1
kau pikir mudah bagun di sumbar.tanah di sumbar itu rumit untuk orang luar miliki;0
sumatera barat beautiful;2
tolong jangan buang sampah sembarangan!! kebersihan cermjnan kepribadian kita;0
ada yg kurang 1 lagi min.. menara eiffeldi lembah harau yg sama mirip dengan menara eiffel di paris perancis;2
ayo liburan kesumatra barat;2
kita itu klu sudah bicara luar negeri...sudah bagaimanaaa.. gitu.;1
thank you sudah kasi informasi tentang parwisata di sumatra baratso kepingin mau jalan kesini sekalian mau bikin content juga .salam dari australia melbourne.;2
iko lati nan den tunggu tungu tu bg, mokasih bg, jan lupo konten tentang pasaman barat bg tampek tingga awak;2
begitu banyak surga dunia yang belum pernah aku kunjungi;2
salah satunya lagi puncak lawang di kecamatan matur agam bos. salah satu tempat paralayang terbaik di dunia dengan view danau maninjau dan kelok 44;2
wahh pengambilan titik spot viewss terbaik deh bang, auto gerak kewisatanya bang thank you bangat bang;2
sumatera barat adalah provinsi terindah di indonesia, sebagaimana pendapat seorang menteri pariwisata. ratusan tempat wisata di sumbar, gunung, danau, sungai, lembah, ngarai, padang rumput, pulau, pantai, ombak yg tinggi, budaya, jalanan yg ektrem, berliku2, kuliner yg lezat, dll. jauh lebih banyak dan beragam dibanding bali. saya seorang travelling. seharusnya potensi yg besar ini harus di kelola dengan baik dan profesional, sehingga akan berdampak yg sangat baik bagi kesejahteraan masyarakat sumbar. ayuk pemda sumbar dan pemda kabkota, para tokoh sumbar... bangun pariwisata sumbar dengan profesional..tentunya dengan tetap menjujung kearifan lokal yg islami.;2
subhanallah allahu akbar indonesian palestina turkey russian;2
sungguh mempesona indah sekali alam minang ini tiada duanya..;2
jangan masukan padang mangateh dalam destini wisata, gk semua orang di izinin masuk ke wilayah itu.. banyak wisatawan domestik yg kecewa..;0
kampung halaman ortu;1
mantaap channel creatie hamdi telah mempromosikan pariwisata sumbar, semoga pariwasata di sumbar terus maju aamiin;2
masyaallah tabarakallah maksih sanak;2
hayo ke sumbar;2
iyoo bang alun sempat2 juo kasitu bang;1
mantappp , terima kasih sudah nonton video ini , jangan lupa toton juga video yang lain juga yah;1
mantap , masyaallah;2
sumbar hampir ada semua nya ,kalau fokus ke pariwisata seperti bali mungkin menjadi alternatif wisata wilayah indonesia barat.;2
klau di banding kan bali unggul lah sumatra barat..cuma wisatawan manca negara di batasi cara bergaul dan berpakaian nya..karena sumbar yg mayoritas muslim melarang bule2 pakaian minim;1
aminn ya allah;2
untuk indonesia ada objek wisata yang sma yaitu lokasi pulau mandeh, dengan kepulauan raja empat di papua. dari pancaringet channel;2
baleh abom o baca galaw ea;1
saran yah. jangan pernah bandingkan kekayaan kita dengan negara lain. terkesan kita mencontoh. indonesia harus punya militansi terhadap identitasnya sendiri;0
apa kabar aku yang d sumatera baru pergi ke jam gadang aja pengen jalan tpi syg ngak ada yang ajak. aku jauh dari sulawesi selatan ke sumatera ini;2
cerocok tarusan pessel dari ketinggian mirip dgn raja 4 papua;2
saya pernah mengamati wil sumbar dg medan ketinggian maka 70 an pegununganperbukitan, persebaran gunung hampir sama antara utara sumbar dengan selatan sumbar. mis titik central tengah 3 arga g.marapi, g.singgalang, g. tandikat g sago di utara ada g. talamau, g. kulabu dll dan dataran tinggi di pasaman, di selatannya ada g. talang, g. rasan dll dan dataran tinggi alahan panjang solok. di utaranya ada g.malintang. dkt perbatasan dg sumut di selatannya ada g. kerinci dkt prbtasan dg jambi.. kemudian di jajaran pegunungan tersebut terdapat danau2 singkarak, maninjau, kembar,, talang... allahualam;2
wisata pantai;1
jadi pd rekan yg posting...usahakan informasi dan spesifikasi yg jelas.;1
air terjun lubuk batang di kab.50 kota min yang mirip sama air terjun di amerika;2
liput alek bakajang bg kab.50kota.kec.pangkalan.kenagarian gunung malintang;1
sekarang kuluh lantak;0
koreksi angku hamdi. jam gadang dibangun thn 1926m;1
penasaran sama padang mangateh... ada tempat wisata apa aja ya disana? penginapan banyak gak ya?;1
masih banyak yg belum dipromosikan. puncak lawang dimaninjau, kelok 9 dikab.50 kota, danau singkarak bukik cinangkiek disolok, kebun teh dialahan panjang, pemandian aie angek dikaki gunung talang, air terjun lembah anai dipadang panjang. wah...pokoknya masih banyaklah yg lainnya. ratarata semua tempat itu sudah pernah sy kunjungi.;2
sayang nggak ada jalan tol disana.;0
pesona puncak langkisau, painan;1
halo selamat siang bapakibu.. mohon izin salah satu cuplikan videonya dipakai untuk video promosi instansi ya.. terima kasih bapakibu;2
kreatif hamdi slamat menjalankan ibadah puasa ramadhan semoga karya mu slalu menjadi hit di indonesia ini dari ibu yuli bagindo rajo pekanbaru riau hadir;2
biasalah si admin mental terjajah, dikit di samain dgn luar negri;0
knp gk wa aku aja;1
urusan kau apa ?;0
benarr , mantapppp juga;2
kapan tu acara nya;1
uda selesai bg tadi acara nya 5hari;1
gk ada kak , cuma buat spot foto aja , tapi mau kesana harus izin dlu;1
bg, kunjungi juga donk daerah mudiak arah kesimp.kapuak kab.50 kota, disitu ada surga tersembunyi telaga batu bulan namonyo. bukik bungsu ditaeh bukik juo rancak. alun leh kampuang sungai beringin jo maekmahat.;2
udah kak , kebun teh sama pemandian aia angek yang belum , coba tonton dlu semua video kita;1
malah dengan adanya jalan tol bisa merusak segalanya;0
ya udah, pandang aja sendiri, nikmati aja sendiri. nggak butuh turis juga kan ?;0
selamat siang , silakan intansi mana klo boleh tahu;2
saya kira lebih bgus di luar negri. di endonesa kalo viral tempat wisatanya sperti tpa;0
sumbar memang top. saya liat banyak plat nmr di luar sumbar berlibur ke sumbar.. minang emang ngk ada lawan nya;2
indinesia bukan saudara bangda melayu sebsb mereka jaww;0
luar negeri??? dimana tuh luar negeri? luar negeri itu kan luaassaa!!!;0
luar negeri mana?? sebut negaranya...;0
apa sama pantai waikiki di hawaii dg pantai di mentawai????;1
dekat rumah ku ngarai sianok;1
saya heran padahal sumatra barat lah yang paling banyak objek wisata alam...kok jarang di promisikan ya;1
lai sehat badan da?;1
mentawai dengan hawaii??? aku 4 tahun tinggal di honolulu hawaii ya....bedaaaa!!!;0
sumatera barat ,the next bali;2
bedaa hawaii dg mentawai....!! hawaii mana??;0
jenjang sejuta tidak sebanding dengan tembok besar cina yaa!!!;0
wah..benarbenar seperti di luar negeri..;2
tapi yang meresahkan di sumbar itu pedagang liar yang asal bikin lapak dimana tempat estetik untuk melihat pemandangan di sana pulak dia berdiri yang kedua pungli yang nggak ngotak masa satu motor usng parkir nya 15 ribu kayak mau parkir mobil aja;0
luar negeri??? heii dimana persisnya? negara mana? luar negeri itu kan luaaassss!!;0
timor leste juga luar negeri yaa!!;1
wisata ke sumbar??? mikir 10 kali. takutnya hari minggu ke gereja eh di bubarkan ibadahnya;0
main main bos ke pulau jawa;1
ombaknya yg jadi sorotan untuk olahraga. tdk kalah dengan ombak hawai;2
halo da;2
tampaik pulang wak ka lubuak basuang;2
nah jadi tanda tanya juga;1
hai di samudra pasifik dek;1
yang bilang sebanding siapa ?!;0
dasar sinyalnya lemot, yg bilang sebanding siapa,,;0
gak nyimak kan admin cuman bilang mirip;1
apa lagi kau ke palembang;0
k7f kalau medan pulak sandal di iket di pagar pagar pun hilang;0
k7f tragedi rendang hilang di palembang;0
yang jelas bukan mirip apak ang;0
loe baca tuh penjelasan admin, gunakan otak loee;0
ini orang dengki kayaknya;0
malah terimakasih sampah seperti anda tidak pernah menginjakan kaki di ranah kami;0
kebanyakan teroris sih yg di tangkap belakamgan ini;0
alhamdulillah sekali, nggk dtang, kami ucapkan terimaksih. smoga suku minang selalu di jauhi dri pendatang asing yg suka memfitnah dan provokasi suku minang.;1
suku mana yg fitnah suku minang?;0
kapan org padang pernah nyerang gereja atau membubarkan org yg beribadah dibgereja bro...? sebutkan klo ente punya data..jgn cuma fitnah..;0
klo sy tdk setuju ada gereja didaerah sy..cuma mengundah bencana saja...;0
fikiran yg keliru anda bro. rasa toleransi orang minangkabau sangat tinggi. silahkan datang ke ranah minang;2
mau kau bilang wisata yg terindah di sumatra barat ,ttpnya pemenang danau toba terpilih f1h20 balam formula1 seluruh dunia ,,,,hahahaha;0
teman teman, kalau berkenan silahkan mampir juga disini;1
bnyak leh bg, iko link nyo;1
urusan sma sumbar ap ??;0
biarin aja bg, si batak memang selalu iri dan dengki kepada sumatra barat;0
terus apa hubungannya bozz.. kalau danau toba terpilih jadi f1.. bagus lah .. seharusnya loe bersyukur..;0
lu udah gede tod tapi kelakuan mu mirip anak anak yang berumur 810 tahun yang gak mau kalah;0
ado 20 bg;1
which of the places is your favorite?;1
i am originally from west sumatra my hometown is bukittinggi now a u.s. citizen but my hometown is always in my heart;2
thank you so much djemo for visiting my country and promote it via your channel...;2
look forward to going to malaysia and west sumatra this spring...and thanks for adding how to get around. i have been to bali and still hoping to head over to sulawesi to spend a few days in toraja ..maybe next yr. the islands are all so close and the prices are reasonable for checking out other islandscountries.;2
its beautiful...i never been to indonesia.. but one day i will go there;2
i have been in indonesia but not in padang! definitely a must visit place. great captured as always! enjoy travelling! deserved a big thumbs up!;2
keindahan alam di indonesia sungguh sangat mempesona. benarbenar menakjubkan;2
every other place is better than the one before is just gorgeous;2
its really beautiful, thanks for the adventure that let me see the beauty of padang.;2
this is a gorgeous video! we live in north sumatra and havent made it to west sumatra yet but cant wait to come and explore! thanks for the interesting and stunning video. d;2
beautiful place enjoy your vacation;2
definitely, a bridge made of roots of the trees is very impressive. i placed it on my list to visit.;2
padang pariaman,my hometown..miss so much my hometown.i hope you enjoy your vacation in west sumatra.terima kasih sudah mengunjungi sumatra barat dan telah memperkenalkan sumatra barat ke seluruh dunia melalui vlog you tube yang sangat luar biasa ini.10 jempol untuk uda djemo;2
terimakasih sudah berkunjung ke ranah minang.....semoga anda mendapat pengalaman yg tidak terlupakan.....dan berkeinginan utk datang kembali.....masih banyak tempat lain yg indah di sumbar.....alam yg masih asri...bisa mencari ikan dan udang yg bersembunyi dibalik bebatuan disungai yg jernih dan dan bening. ..dan terjaga kebersihannya...air terjun yg tujuh tingkat...juga pantai pasir putih dgn ombak yg menerpa pantai dgn lembutnya...juga ada ombak besar yg bisa dipakai untuk main ski.....dipinggir pantai ...semoga anda menikmati keindahan alam minangkabau dan memberitakannya ke teman anda di negara anda utk berkunjung kembali...kalau ada yg kurang menyenangkan beri tau kami biar bisa diperbaiki....tapi kalau anda senang tolong beri tau sahabat dan teman anda terima kasih...;2
i went padang during the 2004;2
i was so excited to see a new sumatra video from you popping up in my notifications! truly one of the most beautiful places in the world! youve really inspired me to add it to my next travel itinerary so i can get to experience those stunning landscapes, the architecture, the food, the local culture for myself. im learning a little bit of bahasa indonesia, so hopefully ill be able to have some very basic! conversations with locals;2
omg its really beautiful place amazing culture,best halal cullilany..have a nice day visit again with your friend and family..;2
as indonesian, im not expected they can showing hows beautiful landscap like that, i feel like watching bali video;2
bukit tinggi district in west sumatera is my favorit. its landscape is very stunning, unique architectures, green lovely natural views friendly locals. while eating nasi rendang, i am dancing with goyang nasi padang dangdut song sorry i am joking...thanks a lot for showing west sumatera to the world for sharing your lovely vlog. hope you enjoyed your time in sumatera indonesia. terima kasih..;2
every place and every corner are my fave. west sumatra is my place of birth. now i am in south sumatra. thank you for the video bro;2
west sumatra;2
teluk sikulo;2
same for me;2
jauah rantau sanak, apo galeh sinan ?;1
hi neltis. west sumatra is the best. i wish to return to bukittinggi. i really loved the cool weather there and the people;2
hi dea. sama2. always a pleasure to visit your wonderful home country! indonesia is so stunning!;2
hi anandha. you definitely have to visit indonesia. bali because of its hindu culture and the rest for its wonderful landscapes and diverse culture.;2
we are locating to indonesia and thinking of padang. we love the local food.;2
thanks a lot for your nice comment! if you enjoyed the video, please share it to some of your friends most people visited bali or java. there is a lot to discover around padang. more episodes will follow;2
oh really? well... west sumatra is really in my heart. i so love this place, very culturally interesting and unique places, without other tourists!;2
sawasdee krub jidapa. thank you! it was my pleasure to show you a new face of indonesia;2
wait for the video.thank you djemo;2
hiii. thank you so much! well... north sumatra is amazing too! i want to visit lake toba one day. maybe we could collab? please do give west sumatra a try! you will love it!;2
absolutely west sumatra is on the list! and yes collab would be so fun if you ever make to north sumatra.;2
hii. thank you! i wish i was still there. but i will revisit indonesia this year;2
